id,name,address,addressNumber,zipCode,districtCode,districtName,altitude,nearbyStations,location,stationType,lat,lon
198,198 SÓCRATES-EJERCITO NACIONAL ,198 - Sócrates-Ejercito Nacional,S/N,11550,POL,Polanco,,"[240, 241]","{'lat': 19.438168, 'lon': -99.203888}","BIKE,TPV",19.438168,-99.203888
196,196 LAGO TANGANICA-AV. EJERCITO NACIONAL,196 - Lago Tanganica- Av. Ejército Nacional,S/N,11510,POL,Polanco,,"[204, 244, 245]","{'lat': 19.438349, 'lon': -99.192904}",BIKE,19.438349,-99.192904
200,200 EMERSON-AV. EJERCITO NACIONAL,200 - Emerson-Av. Ejército Nacional,S/N,11510,POL,Polanco,,"[201, 204, 245]","{'lat': 19.437596, 'lon': -99.188785}",BIKE,19.437596,-99.188785
201,201 LOPE DE VEGA-EJERCITO NACIONAL ,201 - Lope de Vega-Ejército Nacional,S/N,11510,POL,Polanco,,"[200, 205, 245]","{'lat': 19.437431, 'lon': -99.187215}",BIKE,19.437431,-99.187215
202,202 CALDERON DE LA BARCA-AV. HOMERO,202 - Calderón de la Barca-Av. Homero,S/N,11510,POL,Polanco,,"[199, 206, 215]","{'lat': 19.4362368, 'lon': -99.1988982}",BIKE,19.4362368,-99.1988982
203,203 TENNYSON-AV. HOMERO,203 - Tennyson-Av. Homero,S/N,11510,POL,Polanco,,"[196, 204, 210]","{'lat': 19.435985, 'lon': -99.194832}",BIKE,19.435985,-99.194832
204,204 TEMISTOCLES-HOMERO,204 - Temistocles-Homero,S/N,11510,POL,Polanco,,"[196, 200, 245]","{'lat': 19.435882, 'lon': -99.19152}",BIKE,19.435882,-99.19152
205,205 TAINE-HOMERO,205 - Taine-Homero,S/N,11510,POL,Polanco,,"[201, 207, 217]","{'lat': 19.435525, 'lon': -99.184713}",BIKE,19.435525,-99.184713
206,206 MOLIERE-HOMERO ,206 - Moliere-Homero,S/N,11550,POL,Polanco,,"[202, 214, 215]","{'lat': 19.435798, 'lon': -99.201419}","BIKE,TPV",19.435798,-99.201419
207,207 TASSO-HOMERO ,207 - Tasso-Homero,S/N,11510,POL,Polanco,,"[205, 217, 226]","{'lat': 19.434861, 'lon': -99.183322}",BIKE,19.434861,-99.183322
